Word,uniqueID,grasp_freq_1,grasp_freq_2,grasp_freq_3,grasp_freq_4,grasp_freq_5,grasp_freq_6,grasp_freq_7
cardinal,cardinal,9,9,5,5,6,4,1
carousel,carousel,10,2,2,4,5,9,5
carriage,carriage,12,5,2,6,6,4,4
carrot,carrot,0,0,0,2,2,11,22
cart,cart,0,0,5,5,11,9,6
cash machine,cash_machine,8,5,5,6,7,3,0
cash register,cash_register,1,3,6,1,14,9,2
cashew,cashew,0,0,0,0,1,4,32
casserole,casserole,1,2,3,3,12,12,4
cassette,cassette,0,1,0,0,4,12,22
cat,cat,0,2,3,4,17,9,4
catapult,catapult,6,9,5,4,7,4,3
caterpillar,caterpillar,0,0,3,1,8,10,12
catfish,catfish,6,10,10,4,6,2,1
cauliflower,cauliflower,0,0,0,2,9,13,16
caviar,caviar,1,3,7,3,5,9,11
cd player,cd_player,0,0,0,1,5,12,15
celery,celery,0,1,0,2,3,9,23
cello,cello,0,0,4,1,13,14,6
cellphone,cellphone,0,0,1,2,1,6,27
cement mixer,cement_mixer,13,9,9,2,3,2,0
centerpiece,centerpiece,0,1,3,5,15,10,3
centrifuge,centrifuge,4,2,11,6,9,5,0
cereal,cereal,0,1,1,1,10,10,14
chain,chain,0,0,3,0,12,15,10
chainsaw,chainsaw,0,1,5,5,15,9,3
chair,chair,0,2,3,4,12,13,3
chalice,chalice,1,0,0,2,11,12,10
chalk,chalk,0,0,0,1,6,9,22
chalkboard,chalkboard,6,7,8,3,10,3,2
champagne,champagne,2,4,3,2,5,12,8
chandelier,chandelier,5,12,9,2,6,3,1
chaps,chaps,0,0,0,4,2,16,14
charcoal,charcoal,0,1,1,1,6,19,10
charger,charger,0,0,0,2,4,7,25
chariot,chariot,4,6,5,7,7,6,2
checkbook,checkbook,0,0,0,1,2,7,26
checkers,checkers,0,0,0,0,5,19,13
cheese,cheese,0,0,3,2,4,15,14
cheeseburger,cheeseburger,0,0,0,1,4,6,28
cheesecake,cheesecake,2,0,5,3,7,12,8
cheetah,cheetah,19,10,8,1,1,1,0
cherry,cherry,0,0,0,0,3,6,30
chess piece,chess_piece,0,0,1,1,2,9,25
chessboard,chessboard,0,1,0,1,9,13,12
chest,chest1,1,3,5,4,13,6,4
chest,chest2,2,4,7,3,12,5,4
chick,chick,0,0,2,4,11,13,9
chicken wire,chicken_wire,1,4,2,3,13,8,6
chicken,chicken1,1,0,3,3,6,16,8
chicken,chicken2,2,8,12,4,5,1,4
chickpea,chickpea,0,0,0,0,4,5,28
chihuahua,chihuahua,1,0,2,0,14,13,8
chili,chili,2,3,6,4,7,12,3
chime,chime,0,2,1,3,10,12,7
chimney,chimney,17,10,4,1,5,1,1
chin,chin,0,0,0,2,10,13,11
chinaware,chinaware,0,0,0,4,8,14,14
chinchilla,chinchilla,1,1,4,3,9,7,5
chip,chip,0,0,2,4,4,7,22
chipmunk,chipmunk,2,6,3,2,9,9,7
chips,chips,0,1,0,1,4,7,26
chisel,chisel,0,1,1,1,2,16,18
chive,chive,0,0,0,2,3,10,24
chocolate,chocolate,0,0,0,0,3,9,24
chopsticks,chopsticks,0,0,2,2,3,11,19
christmas card,christmas_card,0,0,0,1,2,13,23
christmas tree,christmas_tree,3,1,13,4,9,2,2
chute,chute,4,12,5,3,8,1,3
cigar,cigar,0,0,0,1,2,10,20
cigarette,cigarette,0,0,1,1,1,10,24
cigarette butt,cigarette_butt,0,1,1,0,2,7,25
cigarette holder,cigarette_holder,0,0,0,0,2,10,24
cilantro,cilantro,1,0,0,0,2,14,21
cinnamon,cinnamon,0,0,1,0,2,10,26
clam,clam,0,1,0,1,0,16,19
clarinet,clarinet,1,2,0,2,3,16,12
clasp,clasp,0,1,1,2,5,11,20
clay,clay,0,1,2,1,9,12,10
cleat,cleat,0,1,1,1,8,15,10
cleaver,cleaver,0,1,0,0,4,13,19
clipboard,clipboard,0,0,0,1,3,12,20
clipper,clipper1,0,1,0,0,6,18,12
clipper,clipper2,0,0,0,0,1,9,28
cloak,cloak,0,0,0,1,9,9,18
clock,clock,0,0,3,7,19,7,2
closet,closet,13,8,3,2,7,3,0
clothes,clothes,0,0,0,0,1,10,22
clothesline,clothesline,1,1,0,0,7,11,15
clothespin,clothespin,0,0,1,0,6,5,25
cloud,cloud,28,4,1,3,1,0,0
clove,clove,0,0,0,2,3,9,21
clover,clover,0,0,0,2,3,13,20
coal,coal,2,1,3,3,13,8,6
coaster,coaster,0,0,0,2,1,10,23
coat,coat,0,0,0,3,5,11,18
coat rack,coat_rack,0,0,4,1,13,11,10
cobra,cobra,10,14,5,0,2,3,1
cockatoo,cockatoo,3,4,15,3,8,4,2
cockroach,cockroach,4,4,10,1,12,4,3
cocktail,cocktail,0,2,0,2,1,17,16
coconut,coconut,0,1,3,1,8,9,15
cocoon,cocoon,0,0,0,3,6,8,20
coffee,coffee,5,3,3,2,3,8,11
coffee bean,coffee_bean,0,0,0,0,4,11,20
coffee filter,coffee_filter,0,0,0,0,5,10,21
coffee pot,coffee_pot,0,0,0,1,2,16,17
coffee table,coffee_table,1,1,6,3,12,9,5
coffeemaker,coffeemaker,0,1,4,2,12,8,8
coffin,coffin,3,9,12,1,7,6,1
coil,coil,0,1,3,7,11,7,7
coin,coin,0,0,1,2,3,14,18
coleslaw,coleslaw,0,3,5,3,9,9,9
collar,collar,0,1,1,0,1,13,22
column,column,6,7,8,5,5,5,0
comb,comb,0,0,0,1,0,6,29
combination lock,combination_lock,0,1,0,1,9,11,16
