Word,uniqueID,moves_freq_1,moves_freq_2,moves_freq_3,moves_freq_4,moves_freq_5,moves_freq_6,moves_freq_7
dishrag,dishrag,18,12,2,2,5,0,0
dishwasher,dishwasher,12,11,4,5,2,1,3
dishwashing liquid,dishwashing_liquid,18,4,0,5,8,1,2
diskette,diskette,20,6,3,2,2,1,0
diving board,diving_board,6,7,4,1,8,8,4
dog,dog,0,0,0,1,0,5,30
dogfood,dogfood,27,3,1,3,0,0,0
doghouse,doghouse,20,8,4,4,2,0,1
doily,doily,19,12,4,0,4,0,0
doll,doll,16,9,0,6,4,2,0
dollhouse,dollhouse,16,13,2,3,1,1,0
dolly,dolly,3,1,1,2,7,15,10
dolphin,dolphin,0,0,0,0,0,5,34
domino,domino,11,7,5,4,4,5,0
donkey,donkey,0,0,0,2,1,8,28
donut,donut,22,6,2,1,3,0,0
door,door,1,3,3,3,6,10,12
doorbell,doorbell,20,6,2,2,4,1,1
doorhandle,doorhandle,2,1,2,1,8,14,8
doorknob,doorknob,6,4,2,1,10,13,2
doorknocker,doorknocker,7,5,3,1,10,9,1
doormat,doormat,21,7,4,2,2,0,1
doorstop,doorstop,14,10,3,1,4,5,1
dough,dough,13,8,1,5,6,2,0
dragonfly,dragonfly,0,0,0,0,0,7,28
drain,drain,18,14,1,2,1,0,0
drawer,drawer,6,6,2,3,8,9,5
dreidel,dreidel,4,2,2,1,6,14,7
dress,dress,6,7,6,5,6,6,0
dresser,dresser,17,9,4,2,4,1,0
drill,drill,1,5,2,1,9,12,5
drink,drink,15,11,2,3,4,3,0
drum,drum,16,15,1,3,1,1,1
drumstick,drumstick,10,10,1,6,4,2,4
dryer,dryer,8,5,3,1,13,5,3
duck,duck,0,0,0,0,1,5,32
duckling,duckling,1,0,0,0,0,4,33
duct,duct,25,11,1,1,1,0,0
duct tape,duct_tape,18,12,3,2,1,2,0
duffel bag,duffel_bag,19,10,3,4,1,0,1
dumbbell,dumbbell,13,7,6,4,5,3,0
dumbwaiter,dumbwaiter,3,2,2,0,8,11,9
dumpling,dumpling,18,12,1,2,2,1,0
dumpster,dumpster,17,5,5,0,3,6,0
duster,duster,13,7,2,5,6,4,0
dustpan,dustpan,12,12,2,5,2,4,0
dynamite,dynamite,19,9,3,3,2,2,0
