Word,uniqueID,heavy_freq_1,heavy_freq_2,heavy_freq_3,heavy_freq_4,heavy_freq_5,heavy_freq_6,heavy_freq_7
rhinoceros,rhinoceros,0,0,0,0,0,1,34
rhubarb,rhubarb,12,16,8,1,0,0,0
ribbon,ribbon,29,4,0,2,3,0,0
rice,rice,16,11,4,5,2,0,1
rickshaw,rickshaw,1,1,0,2,7,19,8
rifle,rifle,2,3,5,3,14,11,0
rim,rim,1,4,9,3,7,10,3
ring,ring,22,9,1,2,3,0,0
riser,riser,0,0,1,0,0,15,22
road sign,road_sign,3,2,4,3,15,8,2
roadsweeper,roadsweeper,0,0,0,0,1,2,36
robe,robe,11,17,5,1,3,1,0
robot,robot,1,5,3,11,9,10,1
rock,rock,0,0,0,1,4,10,20
rocket,rocket,0,0,0,0,0,3,34
rocking chair,rocking_chair,0,1,3,3,18,8,2
rocking horse,rocking_horse,0,3,1,3,16,16,0
roll,roll,27,8,2,0,0,0,0
roller,roller,0,0,0,0,2,13,22
roller coaster,roller_coaster,0,0,0,0,0,2,36
rollerblade,rollerblade,5,13,7,1,8,3,0
rollerskate,rollerskate,8,10,10,1,5,2,0
rolling pin,rolling_pin,6,7,5,3,13,2,0
roof rack,roof_rack,0,2,2,2,12,14,5
rooster,rooster,4,17,6,4,6,2,0
root,root,0,0,0,5,9,13,13
rope,rope,4,4,6,9,11,5,1
rosary,rosary,24,9,1,1,1,0,0
rose,rose,24,13,1,0,1,0,0
roulette wheel,roulette_wheel,0,0,2,5,13,8,8
router,router,10,16,5,3,2,1,0
rubber band,rubber_band,35,3,1,0,0,0,0
ruby,ruby,8,11,9,5,4,1,0
rudder,rudder,0,2,1,4,9,17,4
rug,rug,2,5,1,3,17,10,1
ruler,ruler,27,9,1,0,1,0,0
rust,rust,16,8,5,5,3,1,0
saddle,saddle,0,0,2,0,13,19,4
safety pin,safety_pin,37,1,0,0,0,0,0
saffron,saffron,24,12,1,2,0,0,0
sail,sail,0,2,1,3,13,12,7
sailboat,sailboat,1,0,0,0,2,5,28
salad,salad,19,13,3,3,0,0,0
salami,salami,3,12,8,7,4,2,0
saltshaker,saltshaker,21,13,2,2,0,0,0
sand,sand,7,7,4,6,5,8,1
sandal,sandal,14,13,3,1,2,0,0
sandbag,sandbag,0,0,0,0,2,15,22
sandbox,sandbox,0,0,0,4,5,19,9
sandcastle,sandcastle,4,2,5,4,6,13,2
